airport_code,airport_name,city,timezone,longitude,latitude
YKS,"{""en"": ""Yakutsk Airport"", ""ru"": ""Якутск""}","{""en"": ""Yakutsk"", ""ru"": ""Якутск""}",Asia/Yakutsk,(129.77099609375,62.0932998657226562)
MJZ,"{""en"": ""Mirny Airport"", ""ru"": ""Мирный""}","{""en"": ""Mirnyj"", ""ru"": ""Мирный""}",Asia/Yakutsk,(114.03900146484375,62.534698486328125)
KHV,"{""en"": ""Khabarovsk-Novy Airport"", ""ru"": ""Хабаровск-Новый""}","{""en"": ""Khabarovsk"", ""ru"": ""Хабаровск""}",Asia/Vladivostok,(135.18800354004,48.5279998779300001)
PKC,"{""en"": ""Yelizovo Airport"", ""ru"": ""Елизово""}","{""en"": ""Petropavlovsk"", ""ru"": ""Петропавловск-Камчатский""}",Asia/Kamchatka,(158.453994750976562,53.1679000854492188)
UUS,"{""en"": ""Yuzhno-Sakhalinsk Airport"", ""ru"": ""Хомутово""}","{""en"": ""Yuzhno-Sakhalinsk"", ""ru"": ""Южно-Сахалинск""}",Asia/Sakhalin,(142.718002319335938,46.8886985778808594)
VVO,"{""en"": ""Vladivostok International Airport"", ""ru"": ""Владивосток""}","{""en"": ""Vladivostok"", ""ru"": ""Владивосток""}",Asia/Vladivostok,(132.147994995117188,43.3989982604980469)
LED,"{""en"": ""Pulkovo Airport"", ""ru"": ""Пулково""}","{""en"": ""St. Petersburg"", ""ru"": ""Санкт-Петербург""}",Europe/Moscow,(30.2625007629394531,59.8003005981445312)
KGD,"{""en"": ""Khrabrovo Airport"", ""ru"": ""Храброво""}","{""en"": ""Kaliningrad"", ""ru"": ""Калининград""}",Europe/Kaliningrad,(20.5925998687744141,54.8899993896484375)
KEJ,"{""en"": ""Kemerovo Airport"", ""ru"": ""Кемерово""}","{""en"": ""Kemorovo"", ""ru"": ""Кемерово""}",Asia/Novokuznetsk,(86.1072006225585938,55.2700996398925781)
CEK,"{""en"": ""Chelyabinsk Balandino Airport"", ""ru"": ""Челябинск""}","{""en"": ""Chelyabinsk"", ""ru"": ""Челябинск""}",Asia/Yekaterinburg,(61.503300000000003,55.3058010000000024)
MQF,"{""en"": ""Magnitogorsk International Airport"", ""ru"": ""Магнитогорск""}","{""en"": ""Magnetiogorsk"", ""ru"": ""Магнитогорск""}",Asia/Yekaterinburg,(58.7556991577148438,53.3931007385253906)
PEE,"{""en"": ""Bolshoye Savino Airport"", ""ru"": ""Пермь""}","{""en"": ""Perm"", ""ru"": ""Пермь""}",Asia/Yekaterinburg,(56.021198272705,57.9145011901860016)
SGC,"{""en"": ""Surgut Airport"", ""ru"": ""Сургут""}","{""en"": ""Surgut"", ""ru"": ""Сургут""}",Asia/Yekaterinburg,(73.4018020629882812,61.3437004089355469)
